participant,Neptun,Computer_task,thanks,Challengescenario,Failurescenario,Criticismscenario,IQ1,IQ2,FMS1,FMS2,FMS3,FMS4,CrMS1,CrMS2,CrMS3,CrMS4,ChMS1,ChMS2,ChMS3,ChMS4,Ego1,Ego2,Ego3,Ego4,Ego5,Ego6,Ego7,Ego8,Ego9,Ego10,Ego11,university,gender,age,father,mother,feedback,thanks2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.d5e2a83c-bb9d-468c-a72a-9270df234e53.txt,8629,"",628505,107381,5129,95139,9333,15761,2518,13096,2215,26962,972258,40412,12030,6823,2655,11305,4679,14405,80680,3215,20426,170920,105615,30287,9619,11172,30620,3993,7991,8581,2439,4424,4006,1778,4091,878,5976,2020-04-02-18-20,2020-04-02-20-59,159
s.bb7548aa-2071-4969-8ac8-df9aba2f75d3.txt,16747,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",90152,2020-03-31-17-26,"",""
s.5a1b2962-1417-43df-8e99-684f07db050a.txt,17011,"",5031,27337,17803,14910,6943,4957,5351,6029,5264,5400,4061,4417,4254,9485,6950,4330,6103,4937,5056,5212,7635,3853,4669,7676,7622,5514,9939,5721,4524,6334,3472,7422,5948,3109,2988,3324,10027,2020-04-02-13-13,2020-04-02-13-29,16
s.5ebdc058-0147-47a2-b016-28937a1958e2.txt,23550,"",5794,16598,13105,24687,10453,4696,3441,3449,6202,4742,3188,3405,4280,7997,2822,5582,3149,3191,6062,4207,5471,3168,4045,2730,5647,5700,2634,4059,5382,6692,1768,3459,3586,1601,3774,4157,19822,2020-03-23-16-28,2020-03-23-16-46,18
s.5ae062f7-68ab-4cc7-8966-83714995f1ed.txt,5182,"",2846,4968,8221,8248,4486,2835,2870,2403,4824,5209,1763,2340,4022,7582,2463,2525,5040,2744,2619,2649,3380,2404,2216,3549,4668,2973,2354,3899,3886,4904,2071,3599,2987,1350,1581,3986,359642,2020-04-02-14-06,2020-04-02-14-22,16
s.a0b2ae98-5759-49d2-8272-6b00afe55dde.txt,6686,"",3562,3383,9734,6358,3389,2028,11991,4203,2888,5170,3930,3076,2007,3298,4014,2537,8295,2677,3154,2748,4511,3599,3008,6189,4069,3265,2628,5748,3321,11378,4067,5334,3009,2852,3189,1956,170472,2020-04-04-17-06,2020-04-04-17-20,14
s.4369d257-833e-4407-85ad-cbff0410878e.txt,7776,"",4318,5742,15327,15621,6538,6125,3837,36469,5298,9159,12769,6092,5589,3877,5158,3880,5052,5890,22559,5131,4412,4675,3073,4126,4897,5806,3387,5228,5477,47205,2742,17281,7912,2775,4059,2060,23271,2020-04-05-16-56,2020-04-05-17-13,17
s.cec6d67d-dd8b-42c7-9425-0d8b6feef34c.txt,30513,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",18092,2020-03-25-12-05,"",""
s.0d965f95-6f8e-45b7-98a4-f166975edb24.txt,4856,"",13653,16049,22891,41059,5347,7161,4419,4217,3410,6507,3889,5742,3132,7181,6569,5929,5460,4994,2743,6341,6949,2848,2868,4399,7687,3217,4255,4427,2873,20486,12745,3746,5998,5413,31863,4131,10081,2020-04-02-13-37,2020-04-02-13-53,16
s.ba7d1e05-c0dc-462d-a975-a81e649277c5.txt,86248,"",12232,16304,24873,17158,8198,5522,5674,3795,4958,5889,3727,5920,4054,4527,8338,5939,5727,5114,4028,5374,10144,3311,4288,7855,5756,7051,5269,10882,5010,7927,3802,4996,9402,5685,4768,5455,54298,2020-04-02-15-50,2020-04-02-16-08,18
s.3c9f4ab5-3cc5-42af-8075-1e599005a8bc.txt,17426,"",4155,15001,16538,45252,7875,6006,6173,7986,17554,8996,6667,9507,6418,12601,4527,6058,3884,8998,9498,5291,5366,7298,8693,4877,5929,4858,5183,91738,4979,21694,5122,5820,5793,5367,4562,5218,140308,2020-04-02-10-54,2020-04-02-11-17,23
s.c19ad326-4311-4ff4-8e24-18baa3edb873.txt,17079,"",7951,42817,23713,36422,14402,11525,14077,6811,4900,12453,3924,11490,6676,7197,5268,4583,7652,5653,21273,5254,6782,4588,12790,7843,8775,5482,9606,7271,18333,16993,3209,4707,6096,111380,6011,12996,47156,2020-04-02-11-32,2020-04-02-11-54,22
s.f1dbb3ae-c78e-4d40-ba78-de1e9ad3812e.txt,6318,"",5943,15065,21569,28553,8944,6823,7612,7971,12866,6810,6354,5744,7950,6895,4194,6628,7247,8061,7215,16959,7023,6256,5412,10848,6150,7437,5542,7379,7503,11493,2759,7860,6130,4897,6388,5903,31627,2020-04-02-10-13,2020-04-02-10-32,19
s.a50dd20c-e3f8-44f2-8788-8782668e0195.txt,7099,"",3476,4006,12400,18239,12184,3465,4655,3183,6000,5690,3399,4502,4224,4131,4954,3996,5251,17678,4595,3642,5219,5271,3093,6147,3880,5351,3590,4624,4642,9639,10459,44201,3433,6171,1676,1310,11437,2020-04-02-14-48,2020-04-02-15-07,19
s.e1b5bea1-8f65-4d2b-9766-af655b6798ff.txt,12270,"",5982,8300,22605,14798,5856,5340,6306,6550,4640,6177,5043,8618,3968,3801,4999,7946,4619,15766,5140,4593,6924,5188,4306,4974,5812,6930,3335,5709,3003,5935,3234,2605,9614,2794,3613,1924,17498,2020-04-03-18-11,2020-04-03-18-26,15
s.cd99a4f1-33c6-41e8-858c-76400194d312.txt,11967,"",3636,8503,15740,15733,7960,4063,4167,7601,5546,11944,4331,4212,6897,3550,3789,4852,4294,5496,3835,3659,4836,5329,3499,5023,5332,6413,3861,6915,3918,13910,4043,4252,3960,3103,3507,2923,56455,2020-04-03-17-09,2020-04-03-17-32,23
s.eb48b906-39c6-4534-91ae-d4f9eddeb5bb.txt,9590,"",3947,9372,16593,21059,9990,5677,7191,4904,4367,5205,4213,8493,4912,8659,13362,6685,6875,9812,6462,5440,5603,6129,4787,3884,4300,4444,4160,18224,3452,9333,2986,5268,5330,9624,2501,1078,36926,2020-03-23-15-39,2020-03-23-15-55,16
s.4b27e342-d96d-4dda-823a-aba2dc89cd47.txt,6913,"",4345,20268,35496,26224,9950,12756,4582,5967,9069,8065,6370,6679,4825,3979,7980,10153,11240,5328,5367,4804,5044,4612,3997,5829,5100,3491,2996,6301,5222,11541,6296,3749,5531,2156,3534,4862,14893,2020-04-03-12-29,2020-04-03-12-46,17
s.63f4ecf2-a876-4d84-a88a-d671e9925f12.txt,22621,"",5520,19368,14645,15284,16181,10124,4140,4043,3644,5288,4133,3725,33498,3512,4189,3823,5310,3638,3353,17063,4975,3728,46458,3211,3692,5636,2710,12487,3950,5224,2510,6172,3317,4535,8080,1803,27552,2020-04-03-10-36,2020-04-03-10-55,19
s.bd91b2c4-1ae0-4e85-8acc-fe2fb6e2af0f.txt,7791,"",4355,6432,15780,14177,6188,8855,5011,7674,13908,9222,7220,4661,6971,4853,3606,6380,4863,7427,5665,4891,5865,4555,4512,4345,4751,7223,5507,5222,4225,4862,3170,3672,5411,2961,3033,1668,15166,2020-03-25-13-38,2020-03-25-13-53,15
s.6c8ae699-31ab-4c7a-9eac-aae602544ae0.txt,8200,"",3961,14215,20941,34547,13865,7343,11739,5672,6816,6461,7636,6014,6276,6186,6343,4678,4765,5286,6270,8981,4324,4652,5422,8885,6658,7819,4292,7164,7013,9589,3522,6329,4692,3679,5667,5289,20765,2020-04-02-17-38,2020-04-02-17-54,16
s.0c468972-edf9-4038-b1f1-563d2731ce28.txt,15460,"",4897,8396,13601,15937,7074,5497,5659,8397,5292,5536,4117,5378,4055,3985,5118,5319,4185,4602,5528,6181,9054,6562,9671,6875,7801,5291,5831,5112,5409,7583,3732,4913,9608,3781,2870,1990,24692,2020-04-02-22-47,2020-04-02-23-02,15
s.586d0776-4a64-4d3a-b11d-85419f528c79.txt,14182,"",3551,4794,8601,26245,4015,2309,5179,2785,4500,3502,3884,4512,3415,2682,2650,3637,5500,3659,1669,3664,8958,5139,2057,4692,7778,3176,5932,2705,2307,6764,2027,3700,3957,1557,1859,3272,89551,2020-04-04-15-15,2020-04-04-15-32,17
s.e8df992d-b503-4f67-bb08-e9f5715b1876.txt,11402,"",4073,14702,15498,17416,5686,4920,3390,6159,3681,3853,5205,3118,3034,4017,3724,6747,5841,4233,7431,5077,3957,4818,4686,5066,5116,3723,3915,5061,3009,6612,2147,4172,3331,2076,1567,4877,18541,2020-04-03-16-19,2020-04-03-16-34,15
s.ca8102b9-4707-4786-b0e0-05d852466259.txt,13812,"",4244,11025,22967,15084,11388,6788,5069,6978,6412,5887,4831,5777,4927,6735,3914,7466,7062,6141,5248,4726,5464,3945,5173,6346,6931,4519,3305,6551,3706,8351,3293,6096,5763,2454,7038,1870,19863,2020-04-03-19-39,2020-04-03-19-55,16
s.50b34c24-f943-417e-9eb4-c53174d2596a.txt,19417,"",6945,11130,29931,40554,10249,10249,8526,10883,10805,12717,7288,9355,8254,19543,6431,7799,7547,7572,8577,9859,22416,9865,5479,6753,8651,7561,6540,18267,5569,27544,3845,49904,9976,33484,13584,13838,50472,2020-04-02-11-22,2020-04-02-11-46,24
s.c26dda89-084b-4283-91bd-3c82943d549a.txt,8705,"",5559,5183,5195,14589,2812,9662,6353,5842,10584,7393,5495,8492,5059,8725,3942,6244,5671,7455,5523,5426,7693,4651,5100,5031,7349,3314,6224,5804,5787,11465,2953,4644,4708,3478,2800,11608,13412,2020-04-02-15-57,2020-04-02-16-14,17
s.5c201e75-19d0-4677-9d98-4504f374969c.txt,15802,"",5307,22074,30166,34200,9370,6774,4438,5187,4276,7004,3685,9322,8085,11882,4001,4892,5152,6841,3571,7064,6935,7333,5122,5683,7959,8850,5380,4504,5791,22555,5001,5806,5250,2997,9874,6885,66126,2020-04-02-20-12,2020-04-02-20-32,20
s.ebab23eb-3209-4d9c-81b3-2e73e0c616b9.txt,14235,"",4304,6278,11338,18095,6993,5563,9528,3516,7712,5109,3602,4875,5089,6100,3733,4324,9180,4101,5384,6335,2776,6140,4794,5643,7789,5006,4404,7129,5226,10658,3768,8830,4169,4048,3221,1853,25662,2020-04-02-15-54,2020-04-02-16-09,15
s.cb14ab82-2b7c-4291-ab71-234651e54a75.txt,8267,"",3639,13297,9495,15079,6269,12877,3097,4837,3663,4832,8607,5343,3733,3995,5451,9878,8194,6558,4606,3807,4465,4792,5999,5463,5244,7067,3468,5290,4141,13765,2981,4664,5619,2624,2714,2142,37005,2020-04-02-11-13,2020-04-02-11-28,15
s.5a949029-1370-4002-84f5-cd15ea2800a7.txt,8145,"",4413,16106,18153,19508,31270,10955,6679,4180,6774,8413,21075,4744,5441,4610,5594,3154,7758,21617,6553,6257,9741,6004,3460,6135,10646,10814,31781,4846,5192,5589,2471,4764,3418,1781,13083,4518,11363,2020-04-02-14-52,2020-04-02-15-10,18
s.17d99399-378e-4cd9-9834-f97080b08ccd.txt,6394,"",3135,37226,15899,34831,5907,6170,3397,9104,4075,8333,6410,4411,5980,7682,4768,8026,3148,4783,10860,3832,6910,3933,7152,5852,6409,3949,3161,8281,3820,4373,2289,4827,4140,2266,4999,3208,315686,2020-04-05-11-17,2020-04-05-11-34,17
s.76ba731a-c3bb-4578-89c6-3e9cbe6ff739.txt,16687,"",5312,28454,22756,16276,9112,6297,11438,5801,5813,4512,5143,3721,2817,3063,4731,4314,6210,3876,3357,4371,3021,3256,2737,3007,3518,5760,5017,6643,3743,34325,2134,5962,3286,2376,7699,6012,18754,2020-04-02-17-23,2020-04-02-17-42,19
s.2d7f7fcd-9ed7-4257-8c19-cc44d103e704.txt,31597,"",5909,14757,18092,29424,10508,7124,5336,7147,4800,11241,6443,5273,3958,5284,7638,4848,4779,4472,8903,6073,5979,6447,4225,5538,6029,5517,4898,9681,6243,7437,3976,8855,5243,3552,4057,8694,94254,2020-03-23-18-13,2020-03-23-18-34,21
