participant,Neptun:1,Computer_task:1,Challengescenario:1,Failurescenario:1,Failurescenario:2,Criticismscenario:1,Criticismscenario:2,IQ1:1,IQ2:1,FMS1:1,FMS2:1,FMS3:1,FMS4:1,CrMS1:1,CrMS2:1,CrMS3:1,CrMS4:1,ChMS1:1,ChMS2:1,ChMS3:1,ChMS4:1,Ego1:1,Ego2:1,Ego3:1,Ego4:1,Ego5:1,Ego6:1,Ego7:1,Ego8:1,Ego9:1,Ego10:1,Ego11:1,university:1,gender:1,age:1,father:1,mother:1,feedback:1,TIME_start,TIME_end,TIME_total
s.eece635b-1899-4375-81d8-1c4b4a638322.txt,FO9J9B,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",2020-03-23-13-46,"",""
s.e1b5bea1-8f65-4d2b-9766-af655b6798ff.txt,Y4323Q,"",1,1,4,1,5,1,1,3,4,2,1,4,3,2,3,5,5,2,2,2,2,3,4,4,3,3,4,2,4,4,ELTE,2,21,3,3,"",2020-04-03-18-11,2020-04-03-18-26,15,
s.cd99a4f1-33c6-41e8-858c-76400194d312.txt,BC3W8W,"",1,2,3,2,4,2,2,3,3,2,2,4,4,2,2,4,4,2,2,4,4,3,3,4,2,2,4,3,4,4,Eötvös Lóránd Tudományegyetem,1,21,2,3,"",2020-04-03-17-09,2020-04-03-17-32,23,
s.eb48b906-39c6-4534-91ae-d4f9eddeb5bb.txt,WK7I8M,"",1,4,4,3,3,3,2,3,3,4,4,3,3,4,4,3,4,2,3,3,3,3,4,3,2,2,4,3,3,3,ELTE,1,21,1,3,"",2020-03-23-15-39,2020-03-23-15-55,16,
s.4b27e342-d96d-4dda-823a-aba2dc89cd47.txt,BA0LCY,"",1,3,2,4,3,3,3,3,4,3,4,4,3,3,4,3,4,3,3,3,3,1,2,2,4,4,1,1,1,1,ELTE,2,22,2,4,"",2020-04-03-12-29,2020-04-03-12-46,17,
s.63f4ecf2-a876-4d84-a88a-d671e9925f12.txt,E9FQPT,"",2,2,4,3,4,2,1,2,2,2,2,5,5,4,5,5,5,2,2,5,4,4,5,4,5,5,6,4,5,5,ELTE,2,23,2,4,Minden OK!,2020-04-03-10-36,2020-04-03-10-55,19,
s.bd91b2c4-1ae0-4e85-8acc-fe2fb6e2af0f.txt,NAC920,"",1,3,5,2,5,1,1,3,4,2,3,5,4,2,2,5,4,2,3,4,6,2,1,5,5,3,4,3,4,5,ELTE,1,20,2,4,"",2020-03-25-13-38,2020-03-25-13-53,15,
s.6c8ae699-31ab-4c7a-9eac-aae602544ae0.txt,ibnwv7,"",1,3,2,2,3,3,4,2,3,4,4,3,4,2,4,3,4,2,2,5,4,2,4,4,2,3,5,2,3,3,ELTE,1,23,4,4,"",2020-04-02-17-38,2020-04-02-17-54,16,
s.0c468972-edf9-4038-b1f1-563d2731ce28.txt,XXKFSR,"",1,5,4,4,4,1,1,2,4,2,2,4,4,2,2,3,3,3,3,5,6,4,4,6,4,4,4,3,4,4,ELTE,1,19,3,4,"",2020-04-02-22-47,2020-04-02-23-02,15,
s.586d0776-4a64-4d3a-b11d-85419f528c79.txt,DFWPD4,"",2,3,4,1,3,2,3,3,4,2,2,6,4,3,2,6,5,1,1,4,4,4,6,4,4,5,6,6,4,4,ELTE PPK,2,19,4,4,"",2020-04-04-15-15,2020-04-04-15-32,17,
s.e8df992d-b503-4f67-bb08-e9f5715b1876.txt,G2GML6,"",1,5,3,4,4,3,3,3,4,2,4,4,4,4,3,3,3,3,3,4,4,4,4,4,3,2,4,3,4,5,ELTE,1,20,2,1,"",2020-04-03-16-19,2020-04-03-16-34,15,
s.ca8102b9-4707-4786-b0e0-05d852466259.txt,GISYSC,"",1,3,5,3,4,3,3,2,4,4,3,4,3,3,3,4,4,3,3,5,6,3,6,5,5,5,5,5,5,5,ELTE-BGGYK,1,25,4,3,Nincs,2020-04-03-19-39,2020-04-03-19-55,16,
s.50b34c24-f943-417e-9eb4-c53174d2596a.txt,V09MTN,"",1,4,5,4,3,2,2,3,3,2,4,4,4,3,3,4,4,2,2,4,1,4,5,4,3,1,5,4,3,4,ELTE,1,21,2,3,"",2020-04-02-11-22,2020-04-02-11-46,24,
s.c26dda89-084b-4283-91bd-3c82943d549a.txt,B2BLQJ,"",2,2,3,3,3,4,2,1,4,2,2,3,3,5,4,5,4,2,2,4,5,6,4,5,2,5,4,3,3,2,Elte,1,20,3,4,"",2020-04-02-15-57,2020-04-02-16-14,17,
s.5c201e75-19d0-4677-9d98-4504f374969c.txt,CKTDI9,"",1,3,4,2,4,3,3,3,4,3,3,4,4,4,2,5,5,3,2,4,2,5,4,4,3,3,4,4,4,4,Eötvös Loránd Tudományegyetem,1,19,1,4,"",2020-04-02-20-12,2020-04-02-20-32,20,
s.ebab23eb-3209-4d9c-81b3-2e73e0c616b9.txt,ELELGY,"",2,2,4,2,4,2,2,4,4,3,1,5,4,2,2,5,4,4,3,4,4,5,5,4,4,3,5,4,4,5,Eötvös Lóránd Tudományegyetem,1,21,3,3,"",2020-04-02-15-54,2020-04-02-16-09,15,
s.cb14ab82-2b7c-4291-ab71-234651e54a75.txt,IVZ1Z6,"",2,4,3,4,3,2,3,3,3,4,4,3,3,4,4,4,4,3,3,4,3,4,2,4,2,2,3,3,4,2,Eötvös Lóránd Tudományegyetem,1,19,2,4,"",2020-04-02-11-13,2020-04-02-11-28,15,
s.5a949029-1370-4002-84f5-cd15ea2800a7.txt,VKUZWL,"",2,3,3,3,4,2,3,4,4,2,3,5,5,3,3,6,5,2,2,5,3,6,5,6,4,4,5,4,5,5,ELTE,1,22,4,4,Nagyon tetszett!:),2020-04-02-14-52,2020-04-02-15-10,18,
s.17d99399-378e-4cd9-9834-f97080b08ccd.txt,N09L7L,"",2,3,5,3,4,1,1,3,3,3,3,5,4,3,2,5,5,1,1,4,6,3,5,5,5,6,5,4,5,5,ELTE,2,22,2,3,"",2020-04-05-11-17,2020-04-05-11-34,17,
s.76ba731a-c3bb-4578-89c6-3e9cbe6ff739.txt,CQCHEW,"",1,3,4,4,5,3,3,3,3,3,3,5,4,3,3,4,4,4,1,6,2,4,6,6,6,5,4,6,5,6,Eötvös Lóránd Tudományegyetem,1,19,4,4,nincs,2020-04-02-17-23,2020-04-02-17-42,19,
s.2d7f7fcd-9ed7-4257-8c19-cc44d103e704.txt,F82QGY,"",1,3,5,4,4,2,2,4,4,2,3,3,4,2,2,4,4,2,1,4,1,3,6,4,2,2,3,4,4,4,ELTE,1,20,4,3,"",2020-03-23-18-13,2020-03-23-18-34,21,
